year,district,total
2055,Urriarra-Namadgi,598
2056,Belconnen,151960
2056,Canberra East,1256
2056,Gungahlin,87371
2056,North Canberra,91526
2056,South Canberra,38564
2056,Tuggeranong,90254
2056,Weston Creek,26219
2056,Woden,56402
2056,Molonglo,62093
2056,Urriarra-Namadgi,604
2057,Belconnen,152237
2057,Canberra East,1243
2057,Gungahlin,87554
2057,North Canberra,91576
2057,South Canberra,38554
2057,Tuggeranong,90224
2057,Weston Creek,26251
2057,Woden,56391
2057,Molonglo,62071
2057,Urriarra-Namadgi,602
2058,Belconnen,152453
2058,Canberra East,1233
2058,Gungahlin,87508
2058,North Canberra,91597
2058,South Canberra,38534
2058,Tuggeranong,90179
2058,Weston Creek,26265
2058,Woden,56361
2058,Molonglo,62033
2058,Urriarra-Namadgi,605
