year,district,sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2001,Belconnen,m,2645,2901,2962,3606,4216,3682,3226,2913,2974,3069,3484,2516,1666,1087,793,562,276,165
2001,Canberra East,m,37,24,46,50,129,113,79,62,60,65,59,44,30,23,22,5,3,1
2001,Gungahlin,m,1293,1048,781,675,878,1343,1402,1228,917,721,650,390,259,170,134,67,27,10
2001,North Canberra,m,909,882,852,1527,2519,1884,1715,1517,1365,1186,1091,768,630,603,670,570,303,159
2001,South Canberra,m,510,579,714,811,730,953,830,749,872,815,862,596,400,375,374,368,237,136
2001,Tuggeranong,m,3684,4174,4340,4072,2976,2962,3442,3888,3908,3722,3189,1852,1076,707,498,364,173,79
2001,Weston Creek,m,638,704,759,886,784,895,778,774,758,785,1050,954,645,439,315,191,110,76
2001,Woden,m,913,945,1078,1133,1098,1101,1186,1216,1201,1100,1200,996,898,676,596,457,221,119
2001,Molonglo,m,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0
2001,Urriarra-Namadgi,m,12,15,13,15,17,30,29,15,16,16,14,10,11,9,6,1,1,0
2001,Belconnen,f,2550,2639,2989,3555,4068,3496,3070,2984,3314,3518,3789,2410,1510,1062,855,759,469,441
2001,Canberra East,f,30,18,33,39,69,48,35,34,31,44,33,29,19,12,11,8,2,4
2001,Gungahlin,f,1321,1011,747,745,1024,1515,1557,1218,918,744,667,383,262,182,130,81,43,27
2001,North Canberra,f,909,890,872,1485,2369,1763,1648,1401,1389,1189,1016,802,809,729,727,705,436,321
2001,South Canberra,f,519,547,649,738,785,944,802,833,837,872,835,559,459,397,477,493,364,327
2001,Tuggeranong,f,3577,4138,4118,3758,3007,3365,3880,4379,4286,3861,3046,1677,1053,767,611,476,268,152
2001,Weston Creek,f,592,697,751,777,740,830,834,830,899,957,1308,928,577,413,350,292,251,200
2001,Woden,f,835,949,980,1011,1107,1106,1093,1258,1230,1208,1198,1165,942,730,594,531,343,305
2001,Molonglo,f,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Urriarra-Namadgi,f,15,14,14,9,15,23,22,15,14,7,13,12,7,6,6,0,0,0
2001,Belconnen,p,5195,5540,5951,7161,8284,7178,6296,5897,6288,6587,7273,4926,3176,2149,1648,1321,745,606
2001,Canberra East,p,67,42,79,89,198,161,114,96,91,109,92,73,49,35,33,13,5,5
2001,Gungahlin,p,2614,2059,1528,1420,1902,2858,2959,2446,1835,1465,1317,773,521,352,264,148,70,37
2001,North Canberra,p,1818,1772,1724,3012,4888,3647,3363,2918,2754,2375,2107,1570,1439,1332,1397,1275,739,480
2001,South Canberra,p,1029,1126,1363,1549,1515,1897,1632,1582,1709,1687,1697,1155,859,772,851,861,601,463
2001,Tuggeranong,p,7261,8312,8458,7830,5983,6327,7322,8267,8194,7583,6235,3529,2129,1474,1109,840,441,231
2001,Weston Creek,p,1230,1401,1510,1663,1524,1725,1612,1604,1657,1742,2358,1882,1222,852,665,483,361,276
2001,Woden,p,1748,1894,2058,2144,2205,2207,2279,2474,2431,2308,2398,2161,1840,1406,1190,988,564,424
2001,Molonglo,p,0,0,1,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0
2001,Urriarra-Namadgi,p,27,29,27,24,32,53,51,30,30,23,27,22,18,15,12,1,1,0
2002,Belconnen,m,2613,2867,2959,3523,4150,3780,3348,2937,2986,3001,3280,2751,1759,1168,834,597,320,166
2002,Canberra East,m,37,25,46,47,109,96,76,59,54,72,55,48,32,23,29,11,8,2
2002,Gungahlin,m,1360,1127,883,721,931,1310,1436,1292,1015,805,652,472,279,183,145,73,36,12
2002,North Canberra,m,940,898,870,1520,2655,1975,1809,1506,1432,1225,1084,822,648,578,635,551,318,168
2002,South Canberra,m,511,579,715,800,786,942,877,752,883,809,853,660,409,363,370,337,238,127
2002,Tuggeranong,m,3490,4002,4330,4158,3107,2909,3333,3642,3935,3702,3232,2098,1143,716,531,378,199,83
2002,Weston Creek,m,610,687,779,830,770,866,868,761,741,778,929,993,679,459,330,192,124,91
2002,Woden,m,900,984,1054,1093,1119,1107,1169,1216,1237,1114,1132,986,960,692,590,452,253,128
2002,Molonglo,m,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,0
2002,Urriarra-Namadgi,m,11,14,13,11,14,29,24,18,16,18,10,14,11,11,4,7,1,0
2002,Belconnen,f,2580,2599,2946,3468,4166,3515,3273,2929,3218,3443,3679,2727,1614,1154,879,772,523,456
2002,Canberra East,f,31,20,28,32,58,44,40,33,35,42,27,33,19,17,12,12,6,4
2002,Gungahlin,f,1340,1123,852,765,1061,1520,1602,1312,1012,790,725,455,293,206,145,87,53,31
2002,North Canberra,f,912,886,880,1528,2503,1845,1670,1444,1397,1211,1032,822,788,737,672,728,445,332
2002,South Canberra,f,512,544,657,746,769,960,815,801,873,856,829,621,453,386,451,502,352,329
2002,Tuggeranong,f,3431,3972,4110,3783,3070,3172,3845,4138,4344,3901,3140,1913,1132,783,630,492,298,174
2002,Weston Creek,f,613,643,748,762,741,802,914,804,897,924,1209,1020,600,430,344,297,235,226
2002,Woden,f,841,902,993,1027,1130,1082,1144,1202,1274,1182,1146,1189,981,755,608,532,372,315
2002,Molonglo,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Urriarra-Namadgi,f,13,14,16,10,11,21,19,11,16,8,13,11,9,5,5,1,0,0
2002,Belconnen,p,5193,5466,5905,6991,8316,7295,6621,5866,6204,6444,6959,5478,3373,2322,1713,1369,843,622
2002,Canberra East,p,68,45,74,79,167,140,116,92,89,114,82,81,51,40,41,23,14,6
2002,Gungahlin,p,2700,2250,1735,1486,1992,2830,3038,2604,2027,1595,1377,927,572,389,290,160,89,43
2002,North Canberra,p,1852,1784,1750,3048,5158,3820,3479,2950,2829,2436,2116,1644,1436,1315,1307,1279,763,500
2002,South Canberra,p,1023,1123,1372,1546,1555,1902,1692,1553,1756,1665,1682,1281,862,749,821,839,590,456
2002,Tuggeranong,p,6921,7974,8440,7941,6177,6081,7178,7780,8279,7603,6372,4011,2275,1499,1161,870,497,257
2002,Weston Creek,p,1223,1330,1527,1592,1511,1668,1782,1565,1638,1702,2138,2013,1279,889,674,489,359,317
2002,Woden,p,1741,1886,2047,2120,2249,2189,2313,2418,2511,2296,2278,2175,1941,1447,1198,984,625,443
2002,Molonglo,p,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,0
2002,Urriarra-Namadgi,p,24,28,29,21,25,50,43,29,32,26,23,25,20,16,9,8,1,0
2003,Belconnen,m,2549,2810,3000,3443,4250,3786,3432,2954,2969,2936,3168,2946,1823,1242,866,644,361,182
2003,Canberra East,m,36,36,42,47,88,86,67,62,56,75,59,42,40,24,28,7,8,2
2003,Gungahlin,m,1451,1191,952,790,963,1331,1487,1361,1161,847,711,556,310,211,148,80,46,14
2003,North Canberra,m,967,889,884,1520,2889,2083,1842,1547,1471,1285,1137,870,629,581,616,565,345,188
2003,South Canberra,m,508,556,686,799,825,953,865,763,853,807,827,700,434,355,351,328,250,142
2003,Tuggeranong,m,3373,3801,4195,4179,3302,2856,3248,3491,3896,3634,3337,2305,1267,752,531,419,233,93
2003,Weston Creek,m,618,645,773,784,836,796,888,772,702,740,828,966,660,481,328,205,105,84
2003,Woden,m,890,990,1035,1102,1166,1068,1185,1165,1259,1115,1078,1003,920,713,601,454,285,127
2003,Molonglo,m,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2003,Urriarra-Namadgi,m,10,12,13,16,17,25,21,18,14,16,8,9,12,5,3,1,0,0
2003,Belconnen,f,2581,2581,2799,3433,4248,3549,3343,2937,3109,3357,3568,2948,1679,1202,889,773,559,454
2003,Canberra East,f,27,26,23,25,59,39,42,35,35,42,32,38,23,15,12,11,5,5
2003,Gungahlin,f,1388,1209,956,777,1142,1518,1643,1436,1110,880,802,528,324,232,173,94,58,36
2003,North Canberra,f,930,867,880,1571,2679,1953,1687,1463,1413,1239,1080,873,755,769,683,714,498,337
2003,South Canberra,f,495,541,639,763,777,953,829,791,872,852,827,696,432,382,424,487,377,352
2003,Tuggeranong,f,3296,3789,4018,3822,3156,3018,3743,3959,4339,3989,3260,2149,1236,841,637,513,335,179
2003,Weston Creek,f,635,624,727,754,717,772,949,781,871,848,1022,1034,611,443,306,292,229,214
2003,Woden,f,843,879,988,1022,1163,1089,1144,1185,1280,1189,1129,1138,1065,780,617,559,389,347
2003,Molonglo,f,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2003,Urriarra-Namadgi,f,10,13,14,14,15,23,22,12,11,10,14,8,8,4,3,1,1,0
2003,Belconnen,p,5130,5391,5799,6876,8498,7335,6775,5891,6078,6293,6736,5894,3502,2444,1755,1417,920,636
2003,Canberra East,p,63,62,65,72,147,125,109,97,91,117,91,80,63,39,40,18,13,7
2003,Gungahlin,p,2839,2400,1908,1567,2105,2849,3130,2797,2271,1727,1513,1084,634,443,321,174,104,50
2003,North Canberra,p,1897,1756,1764,3091,5568,4036,3529,3010,2884,2524,2217,1743,1384,1350,1299,1279,843,525
2003,South Canberra,p,1003,1097,1325,1562,1602,1906,1694,1554,1725,1659,1654,1396,866,737,775,815,627,494
2003,Tuggeranong,p,6669,7590,8213,8001,6458,5874,6991,7450,8235,7623,6597,4454,2503,1593,1168,932,568,272
2003,Weston Creek,p,1253,1269,1500,1538,1553,1568,1837,1553,1573,1588,1850,2000,1271,924,634,497,334,298
2003,Woden,p,1733,1869,2023,2124,2329,2157,2329,2350,2539,2304,2207,2141,1985,1493,1218,1013,674,474
2003,Molonglo,p,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0
2003,Urriarra-Namadgi,p,20,25,27,30,32,48,43,30,25,26,22,17,20,9,6,2,1,0
2004,Belconnen,m,2616,2709,2932,3375,4246,3728,3573,2975,2883,2874,3037,2986,1911,1298,867,647,364,186
2004,Canberra East,m,36,36,43,55,80,67,69,64,50,68,57,39,43,27,22,11,11,1
2004,Gungahlin,m,1488,1305,1036,831,1016,1364,1563,1416,1258,937,799,615,347,241,158,83,58,20
2004,North Canberra,m,987,885,890,1518,3068,2214,1896,1591,1489,1315,1173,906,635,581,567,584,383,214
2004,South Canberra,m,492,525,650,814,838,987,824,766,836,787,815,740,457,362,318,337,273,161
2004,Tuggeranong,m,3215,3657,4116,4122,3446,2892,3219,3319,3788,3614,3385,2505,1326,795,556,414,233,91
2004,Weston Creek,m,629,638,720,761,849,744,874,795,722,722,766,918,702,491,352,205,129,71
2004,Woden,m,886,978,1024,1075,1193,1071,1146,1163,1270,1136,1065,993,887,728,584,476,298,129
2004,Molonglo,m,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2004,Urriarra-Namadgi,m,12,16,12,14,16,20,20,21,16,16,9,4,10,9,4,1,3,0
2004,Belconnen,f,2593,2543,2687,3373,4208,3578,3415,2880,3019,3278,3452,3077,1804,1240,909,766,586,439
2004,Canberra East,f,25,22,18,19,50,37,51,30,35,39,40,39,27,17,21,9,5,5
2004,Gungahlin,f,1413,1316,1046,819,1168,1533,1743,1508,1268,959,859,611,365,263,195,108,58,35
2004,North Canberra,f,928,847,887,1557,2832,2088,1697,1491,1407,1293,1130,898,748,762,699,679,547,380
2004,South Canberra,f,465,542,623,724,831,961,817,756,873,858,830,739,432,402,388,484,411,412
2004,Tuggeranong,f,3130,3629,3943,3819,3181,2925,3612,3778,4303,4036,3359,2319,1291,881,635,513,340,186
2004,Weston Creek,f,611,617,701,723,709,734,919,776,838,836,928,1067,673,433,321,304,245,217
2004,Woden,f,813,867,955,1003,1159,1095,1125,1169,1251,1224,1105,1093,1081,790,649,566,411,374
2004,Molonglo,f,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2004,Urriarra-Namadgi,f,4,11,15,11,11,17,18,15,8,14,14,11,8,4,2,3,0,0
2004,Belconnen,p,5209,5252,5619,6748,8454,7306,6988,5855,5902,6152,6489,6063,3715,2538,1776,1413,950,625
2004,Canberra East,p,61,58,61,74,130,104,120,94,85,107,97,78,70,44,43,20,16,6
2004,Gungahlin,p,2901,2621,2082,1650,2184,2897,3306,2924,2526,1896,1658,1226,712,504,353,191,116,55
2004,North Canberra,p,1915,1732,1777,3075,5900,4302,3593,3082,2896,2608,2303,1804,1383,1343,1266,1263,930,594
2004,South Canberra,p,957,1067,1273,1538,1669,1948,1641,1522,1709,1645,1645,1479,889,764,706,821,684,573
2004,Tuggeranong,p,6345,7286,8059,7941,6627,5817,6831,7097,8091,7650,6744,4824,2617,1676,1191,927,573,277
2004,Weston Creek,p,1240,1255,1421,1484,1558,1478,1793,1571,1560,1558,1694,1985,1375,924,673,509,374,288
2004,Woden,p,1699,1845,1979,2078,2352,2166,2271,2332,2521,2360,2170,2086,1968,1518,1233,1042,709,503
2004,Molonglo,p,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0
2004,Urriarra-Namadgi,p,16,27,27,25,27,37,38,36,24,30,23,15,18,13,6,4,3,0
2005,Belconnen,m,2712,2590,2918,3283,4172,3737,3658,3046,2820,2805,2972,2987,1974,1418,909,660,410,208
2005,Canberra East,m,32,33,34,55,72,50,67,54,49,54,65,41,46,27,23,15,8,0
2005,Gungahlin,m,1528,1325,1111,908,1061,1368,1614,1471,1324,997,817,673,388,234,179,94,63,23
2005,North Canberra,m,1009,870,905,1567,3219,2346,1937,1616,1530,1360,1176,948,669,577,531,541,381,229
2005,South Canberra,m,478,522,632,829,904,1017,837,797,819,861,816,774,512,344,341,316,283,185
2005,Tuggeranong,m,3083,3514,3958,4147,3543,2914,3154,3256,3697,3581,3397,2710,1410,848,576,428,241,123
