year,district,sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2005,Weston Creek,m,684,621,691,741,818,700,854,827,732,729,701,898,736,526,369,228,130,90
2005,Woden,m,860,979,1019,1072,1214,1055,1148,1148,1256,1192,1027,1030,828,754,599,471,313,156
2005,Molonglo,m,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
2005,Urriarra-Namadgi,m,12,14,15,12,16,16,16,19,17,15,14,3,9,12,0,0,3,0
2005,Belconnen,f,2619,2537,2604,3266,4127,3617,3450,2988,2921,3176,3334,3094,1984,1308,941,772,637,470
2005,Canberra East,f,28,20,20,14,42,34,51,30,39,32,42,40,31,18,17,3,7,6
2005,Gungahlin,f,1447,1381,1116,871,1209,1561,1761,1563,1312,1016,864,677,401,265,199,108,60,40
2005,North Canberra,f,967,857,874,1516,2986,2200,1713,1539,1374,1366,1148,947,758,736,666,668,533,394
2005,South Canberra,f,453,554,606,729,890,1017,847,752,884,888,857,770,458,396,355,483,423,410
2005,Tuggeranong,f,3015,3429,3868,3807,3249,2923,3480,3669,4152,3995,3484,2502,1386,960,674,497,364,208
2005,Weston Creek,f,600,621,676,729,658,711,916,804,817,852,844,1067,748,471,353,307,250,244
2005,Woden,f,818,869,958,1010,1167,1090,1119,1179,1283,1229,1125,1073,1058,844,669,554,435,412
2005,Molonglo,f,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
2005,Urriarra-Namadgi,f,9,11,15,10,9,16,16,13,6,13,13,13,7,3,0,3,1,0
2005,Belconnen,p,5331,5127,5522,6549,8299,7354,7108,6034,5741,5981,6306,6081,3958,2726,1850,1432,1047,678
2005,Canberra East,p,60,53,54,69,114,84,118,84,88,86,107,81,77,45,40,18,15,6
2005,Gungahlin,p,2975,2706,2227,1779,2270,2929,3375,3034,2636,2013,1681,1350,789,499,378,202,123,63
2005,North Canberra,p,1976,1727,1779,3083,6205,4546,3650,3155,2904,2726,2324,1895,1427,1313,1197,1209,914,623
2005,South Canberra,p,931,1076,1238,1558,1794,2034,1684,1549,1703,1749,1673,1544,970,740,696,799,706,595
2005,Tuggeranong,p,6098,6943,7826,7954,6792,5837,6634,6925,7849,7576,6881,5212,2796,1808,1250,925,605,331
2005,Weston Creek,p,1284,1242,1367,1470,1476,1411,1770,1631,1549,1581,1545,1965,1484,997,722,535,380,334
2005,Woden,p,1678,1848,1977,2082,2381,2145,2267,2327,2539,2421,2152,2103,1886,1598,1268,1025,748,568
2005,Molonglo,p,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0
2005,Urriarra-Namadgi,p,21,25,30,22,25,32,32,32,23,28,27,16,16,15,0,3,4,0
2006,Belconnen,m,2925,2536,2829,3190,4137,3743,3629,3186,2833,2742,2832,2965,2102,1447,942,644,433,242
2006,Canberra East,m,25,29,31,44,50,37,75,51,45,44,64,46,55,29,24,13,14,5
2006,Gungahlin,m,1587,1397,1147,986,1116,1365,1669,1590,1403,1099,857,718,445,282,190,118,68,31
2006,North Canberra,m,1032,896,868,1649,3368,2552,1957,1728,1503,1402,1224,979,717,544,521,547,399,225
2006,South Canberra,m,471,501,631,836,1003,1108,865,847,797,928,824,813,568,348,324,324,261,206
2006,Tuggeranong,m,2978,3362,3811,4102,3592,2962,3061,3276,3584,3599,3404,2814,1579,914,633,430,259,117
2006,Weston Creek,m,733,632,664,734,769,687,821,860,743,722,693,816,783,542,367,266,142,107
2006,Woden,m,864,992,987,1092,1193,1127,1082,1149,1225,1248,1030,1031,795,771,589,499,325,195
2006,Molonglo,m,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
2006,Urriarra-Namadgi,m,13,16,11,7,13,17,6,25,18,15,13,7,9,9,3,1,3,0
2006,Belconnen,f,2717,2559,2548,3134,4148,3656,3414,3097,2820,3157,3127,3174,2104,1375,994,788,648,510
2006,Canberra East,f,26,20,17,13,30,29,52,27,32,33,48,40,31,25,11,11,7,5
2006,Gungahlin,f,1535,1418,1174,957,1218,1613,1829,1667,1348,1068,881,751,455,304,225,124,75,40
2006,North Canberra,f,1033,883,872,1505,3083,2398,1728,1561,1403,1357,1211,967,766,709,679,620,571,374
2006,South Canberra,f,474,548,587,752,932,1149,877,764,906,916,888,819,510,390,353,440,426,406
2006,Tuggeranong,f,2923,3297,3726,3772,3276,2958,3328,3630,4045,3996,3567,2675,1532,1000,703,492,394,252
2006,Weston Creek,f,638,608,679,694,605,726,846,849,791,881,808,1044,763,505,374,313,259,261
2006,Woden,f,803,891,971,1022,1163,1118,1088,1177,1334,1249,1126,1052,1055,892,677,537,468,409
2006,Molonglo,f,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2006,Urriarra-Namadgi,f,4,6,15,17,8,11,16,16,3,16,9,14,6,3,0,2,0,0
2006,Belconnen,p,5642,5095,5377,6324,8285,7399,7043,6283,5653,5899,5959,6139,4206,2822,1936,1432,1081,752
2006,Canberra East,p,51,49,48,57,80,66,127,78,77,77,112,86,86,54,35,24,21,10
2006,Gungahlin,p,3122,2815,2321,1943,2334,2978,3498,3257,2751,2167,1738,1469,900,586,415,242,143,71
2006,North Canberra,p,2065,1779,1740,3154,6451,4950,3685,3289,2906,2759,2435,1946,1483,1253,1200,1167,970,599
2006,South Canberra,p,945,1049,1218,1588,1935,2257,1742,1611,1703,1844,1712,1632,1078,738,677,764,687,612
2006,Tuggeranong,p,5901,6659,7537,7874,6868,5920,6389,6906,7629,7595,6971,5489,3111,1914,1336,922,653,369
2006,Weston Creek,p,1371,1240,1343,1428,1374,1413,1667,1709,1534,1603,1501,1860,1546,1047,741,579,401,368
2006,Woden,p,1667,1883,1958,2114,2356,2245,2170,2326,2559,2497,2156,2083,1850,1663,1266,1036,793,604
2006,Molonglo,p,0,0,0,0,0,0,2,0,1,1,1,0,1,0,0,0,0,0
2006,Urriarra-Namadgi,p,17,22,26,24,21,28,22,41,21,31,22,21,15,12,3,3,3,0
2007,Belconnen,m,3119,2595,2757,3219,4279,3901,3762,3336,2893,2798,2808,2822,2340,1520,996,682,432,274
2007,Canberra East,m,24,24,33,53,48,37,62,59,51,41,62,44,54,36,21,15,13,5
2007,Gungahlin,m,1699,1472,1234,1098,1201,1467,1661,1727,1474,1194,904,724,518,306,196,127,69,34
2007,North Canberra,m,1128,912,875,1720,3547,2738,1997,1794,1525,1445,1266,1045,758,546,519,515,402,251
2007,South Canberra,m,516,531,646,829,984,1129,874,872,842,949,835,820,616,383,311,313,223,219
2007,Tuggeranong,m,3043,3177,3745,4036,3703,3076,2983,3272,3412,3625,3354,2849,1851,1014,650,458,304,133
2007,Weston Creek,m,766,660,637,757,715,720,811,924,759,732,688,751,798,581,402,264,159,116
2007,Woden,m,858,962,1033,1084,1224,1134,1089,1182,1188,1279,1042,988,798,818,599,480,356,214
2007,Molonglo,m,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2007,Urriarra-Namadgi,m,12,16,19,10,15,17,5,22,18,14,10,8,8,7,4,0,3,0
2007,Belconnen,f,2827,2585,2597,3176,4175,3868,3547,3302,2824,3091,3128,3096,2341,1444,1062,827,686,556
2007,Canberra East,f,21,15,27,28,30,29,39,41,31,36,31,44,32,26,13,14,3,5
2007,Gungahlin,f,1667,1474,1276,1061,1268,1698,1842,1838,1464,1126,927,789,551,380,230,157,69,50
2007,North Canberra,f,1059,910,872,1603,3136,2597,1766,1586,1446,1414,1248,997,810,693,682,579,595,412
2007,South Canberra,f,531,528,614,752,949,1188,886,805,876,953,873,820,594,382,353,409,448,427
2007,Tuggeranong,f,2961,3183,3594,3872,3286,3077,3170,3617,3867,4045,3572,2755,1744,1070,778,551,377,275
2007,Weston Creek,f,667,644,625,701,619,739,812,929,766,857,794,974,831,523,386,296,275,280
2007,Woden,f,854,870,970,1034,1196,1121,1114,1185,1252,1296,1109,1014,1040,898,684,541,459,444
2007,Molonglo,f,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2007,Urriarra-Namadgi,f,5,10,15,15,10,13,13,15,9,17,7,14,3,4,0,2,0,0
2007,Belconnen,p,5946,5180,5354,6395,8454,7769,7309,6638,5717,5889,5936,5918,4681,2964,2058,1509,1118,830
2007,Canberra East,p,45,39,60,81,78,66,101,100,82,77,93,88,86,62,34,29,16,10
2007,Gungahlin,p,3366,2946,2510,2159,2469,3165,3503,3565,2938,2320,1831,1513,1069,686,426,284,138,84
2007,North Canberra,p,2187,1822,1747,3323,6683,5335,3763,3380,2971,2859,2514,2042,1568,1239,1201,1094,997,663
2007,South Canberra,p,1047,1059,1260,1581,1933,2317,1760,1677,1718,1902,1708,1640,1210,765,664,722,671,646
2007,Tuggeranong,p,6004,6360,7339,7908,6989,6153,6153,6889,7279,7670,6926,5604,3595,2084,1428,1009,681,408
2007,Weston Creek,p,1433,1304,1262,1458,1334,1459,1623,1853,1525,1589,1482,1725,1629,1104,788,560,434,396
2007,Woden,p,1712,1832,2003,2118,2420,2255,2203,2367,2440,2575,2151,2002,1838,1716,1283,1021,815,658
2007,Molonglo,p,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0
2007,Urriarra-Namadgi,p,17,26,34,25,25,30,18,37,27,31,17,22,11,11,4,2,3,0
2008,Belconnen,m,3240,2590,2704,3307,4320,3984,3893,3471,2920,2787,2751,2768,2486,1559,1053,724,447,300
2008,Canberra East,m,23,18,39,54,49,47,47,55,56,55,58,44,48,43,20,19,13,4
2008,Gungahlin,m,1793,1577,1329,1223,1310,1620,1732,1855,1572,1305,927,741,591,342,221,149,80,36
2008,North Canberra,m,1178,940,858,1728,3671,2919,2071,1814,1552,1468,1313,1081,794,551,520,479,397,274
2008,South Canberra,m,542,545,652,814,937,1172,891,880,843,934,838,820,669,403,320,283,212,228
2008,Tuggeranong,m,3070,3104,3564,4065,3689,3127,2956,3272,3279,3641,3298,2930,2024,1154,646,476,331,146
2008,Weston Creek,m,775,690,654,748,703,732,798,919,780,724,687,711,797,587,438,269,177,129
2008,Woden,m,856,954,1033,1072,1243,1182,1082,1223,1154,1283,1068,971,826,783,627,484,361,234
2008,Molonglo,m,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2008,Urriarra-Namadgi,m,9,16,18,12,20,15,6,18,16,17,11,7,8,9,4,1,1,0
2008,Belconnen,f,2894,2582,2566,3197,4223,4025,3634,3370,2876,3012,3059,3070,2545,1497,1120,821,696,606
2008,Canberra East,f,17,15,37,28,31,31,33,37,33,40,27,42,32,27,15,15,2,5
2008,Gungahlin,f,1771,1555,1355,1210,1338,1796,1895,1977,1585,1216,985,842,599,438,249,176,81,63
2008,North Canberra,f,1071,942,843,1647,3241,2746,1840,1616,1460,1435,1265,1056,859,672,673,577,574,447
2008,South Canberra,f,539,537,642,733,949,1210,886,842,856,934,875,811,652,384,362,379,439,441
2008,Tuggeranong,f,2982,3030,3436,3891,3256,3168,3052,3602,3722,4022,3613,2826,1935,1129,822,589,393,298
2008,Weston Creek,f,691,653,593,718,622,707,791,997,775,843,799,884,877,553,424,287,256,299
2008,Woden,f,883,882,961,1024,1176,1140,1089,1230,1231,1293,1101,998,1002,939,685,543,477,480
2008,Molonglo,f,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
2008,Urriarra-Namadgi,f,4,11,15,15,13,18,14,14,12,12,9,15,1,6,0,2,1,1
2008,Belconnen,p,6134,5172,5270,6504,8543,8009,7527,6841,5796,5799,5810,5838,5031,3056,2173,1545,1143,906
2008,Canberra East,p,40,33,76,82,80,78,80,92,89,95,85,86,80,70,35,34,15,9
2008,Gungahlin,p,3564,3132,2684,2433,2648,3416,3627,3832,3157,2521,1912,1583,1190,780,470,325,161,99
2008,North Canberra,p,2249,1882,1701,3375,6912,5665,3911,3430,3012,2903,2578,2137,1653,1223,1193,1056,971,721
2008,South Canberra,p,1081,1082,1294,1547,1886,2382,1777,1722,1699,1868,1713,1631,1321,787,682,662,651,669
2008,Tuggeranong,p,6052,6134,7000,7956,6945,6295,6008,6874,7001,7663,6911,5756,3959,2283,1468,1065,724,444
2008,Weston Creek,p,1466,1343,1247,1466,1325,1439,1589,1916,1555,1567,1486,1595,1674,1140,862,556,433,428
2008,Woden,p,1739,1836,1994,2096,2419,2322,2171,2453,2385,2576,2169,1969,1828,1722,1312,1027,838,714
2008,Molonglo,p,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0
2008,Urriarra-Namadgi,p,13,27,33,27,33,33,20,32,28,29,20,22,9,15,4,3,2,1
2009,Belconnen,m,3409,2650,2633,3330,4449,4144,3911,3646,2995,2776,2692,2699,2584,1643,1114,749,465,325
2009,Canberra East,m,19,15,43,55,86,88,65,75,71,70,60,58,46,48,26,17,11,4
2009,Gungahlin,m,1904,1662,1420,1340,1445,1753,1815,1963,1636,1363,1036,798,621,374,258,166,84,41
2009,North Canberra,m,1212,980,871,1726,3819,3095,2165,1810,1581,1475,1351,1125,836,560,524,460,400,293
2009,South Canberra,m,573,561,673,802,924,1228,895,870,841,937,872,804,715,423,330,240,215,231
2009,Tuggeranong,m,3153,3014,3467,4008,3690,3198,2992,3240,3164,3579,3301,2951,2190,1230,725,517,350,163
2009,Weston Creek,m,802,736,681,715,697,709,812,907,819,725,695,673,804,618,433,276,187,137
2009,Woden,m,884,968,1017,1082,1252,1217,1093,1207,1161,1296,1082,975,852,768,643,481,363,250
2009,Molonglo,m,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2009,Urriarra-Namadgi,m,10,18,20,16,20,18,6,18,23,19,9,8,10,4,6,0,0,1
2009,Belconnen,f,2978,2631,2528,3200,4339,4169,3670,3526,2870,2940,3056,3033,2671,1606,1156,837,716,648
2009,Canberra East,f,12,12,38,30,35,38,34,36,34,47,23,44,35,30,17,11,3,6
2009,Gungahlin,f,1815,1609,1433,1316,1431,1908,1967,2078,1710,1330,1056,897,640,496,277,191,96,75
